time phi1_2 psi1_2 omega1_2 phi1_3 psi1_3
0.0 0.877333 3.004781 2.993291 -1.204901 -3.039616
10.0 0.980279 2.647007 -3.116196 -1.271309 -2.58284
20.0 1.376859 -2.795312 -2.714347 -1.512974 3.067358
30.0 1.106264 -2.857609 -3.000612 -1.265388 -2.988152
40.0 0.9817 -2.752993 3.025534 -0.929946 -2.402628
50.0 1.167973 -2.78381 -2.779343 -1.266148 -2.912312
60.0 1.137616 -3.079998 -2.744959 -1.401972 3.125388
70.0 1.092942 -2.905775 -2.996358 -1.826872 -3.01399
80.0 1.38406 -3.079391 -3.125505 -1.458145 -2.716224
90.0 0.828537 2.979099 -2.895005 -1.650763 -2.973468
100.0 1.185109 -2.96879 3.03274 -1.412077 -3.06441
110.0 1.01213 -3.12275 -3.06771 -1.147505 -2.789158
120.0 0.876626 2.987641 -3.066541 -1.341423 -2.642038
130.0 1.00417 -2.922774 -3.085089 -1.657748 -2.795545
140.0 1.508761 3.110766 -3.007387 -1.447682 -2.96791
150.0 1.079177 -2.964336 -2.861645 -1.574285 -2.967229
160.0 1.131856 -2.923099 -3.105053 -1.459183 -2.906232
170.0 0.943197 -2.987388 3.074613 -1.564965 -3.062904
180.0 0.939798 3.055824 -3.025315 -1.379575 -2.920474
190.0 1.108542 -2.730185 -2.858127 -1.124356 -2.080527
200.0 0.734152 2.82951 -3.102465 -1.835814 3.000064
210.0 0.985841 2.856905 -2.730411 -1.376404 -3.123194
220.0 0.953906 3.083637 -2.696376 -1.446866 2.996412
230.0 1.248021 1.795708 3.081482 -1.813768 -3.050559
240.0 1.195835 -3.110085 -2.914417 -1.044671 -2.68686
250.0 1.219672 -3.04704 -2.84707 -1.179911 -2.399848
260.0 0.896266 -2.754261 3.133936 -1.329312 -2.520326
270.0 0.999627 -2.983796 3.071134 -1.688075 -2.931032
280.0 1.389019 3.136088 -2.960705 -1.550909 3.04144
290.0 1.22591 -3.128928 3.13017 -1.189108 -2.231533
300.0 1.021657 2.844315 -3.10619 -1.152582 -2.026675
310.0 1.017466 -2.982053 -3.059206 -1.286458 -2.636382
320.0 0.718696 2.813834 3.034519 -1.100402 -2.501024
330.0 1.094729 -3.104049 -3.137663 -1.218649 -2.428078
340.0 1.129657 -2.698462 -3.06567 -1.058546 -2.31366
350.0 0.986216 -2.904239 -2.899664 -1.099246 -2.329836
360.0 0.903646 -3.107287 -3.117732 -1.272253 -2.311091
370.0 1.136758 -3.067716 -2.748781 -0.838939 -2.530341
380.0 1.037445 -3.038025 -2.98816 -0.991024 -2.583593
390.0 1.456855 -2.890025 -3.084921 -1.306059 3.080732
400.0 1.203638 -2.63028 -2.586531 -1.209565 -2.594546
410.0 1.090438 -2.887029 -2.559642 -1.82836 -3.029568
420.0 1.222134 -2.825616 3.037144 -1.289936 -2.718701
430.0 1.378858 -2.927056 3.133711 -1.36991 -2.188092
440.0 1.157942 -3.095609 -2.833707 -1.30461 -2.552521
450.0 1.048996 -3.011957 -2.786525 -1.043122 -2.244883
460.0 1.09071 -2.840156 -2.964808 -1.363011 -2.16642
470.0 1.088529 -2.926373 3.099431 -0.982578 -2.387643
480.0 1.207448 -2.814342 -3.060208 -1.402978 -2.762955
490.0 1.019375 -2.617565 3.082866 -1.174405 -2.139851
500.0 0.983283 -2.921952 -3.10181 -1.075558 -2.776967
510.0 0.90877 -2.827867 -0.617012 -1.388752 -3.052706
520.0 1.261752 1.999426 -3.069928 -1.038016 -2.346818
530.0 0.836718 2.810526 -3.113217 -1.259247 -2.587139
540.0 0.873088 3.090393 -2.943467 -1.041356 -2.342449
550.0 1.390171 -2.91787 -2.922116 -1.075843 -2.140054
560.0 0.92667 2.784864 -2.812281 -1.121773 -2.004253
570.0 1.314227 -3.106751 -2.844299 -1.130147 -2.509082
580.0 0.731178 -2.761935 -2.921831 -1.109411 -2.248764
590.0 1.236984 2.969834 -2.81212 -0.928508 -2.719116
600.0 1.034793 3.092419 3.048895 -1.327743 -2.565013
610.0 -2.917488 -2.989773 3.13866 -1.323244 -2.863835
620.0 0.969372 3.001258 2.973716 -0.800602 -2.86112
630.0 1.201498 -2.841695 -3.129641 -1.034513 -2.5636
640.0 1.380998 -3.124025 -2.842621 -1.144803 -2.611082
650.0 1.009086 3.038724 -2.995803 -1.247524 -2.62386
660.0 1.234718 -2.852904 -3.079146 -0.891959 -2.647684
670.0 1.08962 -2.689287 -3.049769 -1.083789 -2.144016
680.0 1.018414 -2.978895 -2.624751 -0.915694 -2.20486
690.0 1.116753 -2.762817 -3.063406 -1.173331 -2.127891
700.0 1.274601 -1.011591 -1.151562 -1.359965 -2.869086
710.0 1.019681 -3.042364 -3.003643 -1.375415 -1.897556
720.0 1.202223 -2.841262 -0.958173 -1.46063 -2.75522
730.0 1.095455 -3.043776 -3.09416 -1.231639 -2.069777
740.0 1.037868 -2.877937 -3.04316 -0.842454 -2.574889
750.0 1.054112 -2.550727 -3.081952 -1.093629 -2.944192
760.0 0.807865 -3.074925 -3.070306 -1.037621 -2.720423
770.0 1.000107 -3.037686 -3.054273 -1.318427 -2.408663
780.0 0.870941 2.996883 -3.00684 -0.847708 -2.350364
790.0 0.962098 -2.925445 -0.846483 -1.335069 -1.882248
800.0 1.01514 -3.081278 1.0101 -1.022245 -2.466932
810.0 1.083992 -2.660853 3.099104 -1.099947 -2.519256
820.0 0.897769 -2.967933 -2.853901 -1.164905 -2.475306
830.0 1.192337 -2.781751 -2.896378 -1.111528 -2.403993
840.0 1.081293 -2.833263 -0.807792 -0.977026 -2.315325
850.0 0.969849 -2.702019 -0.932727 -1.207437 -1.987551
860.0 0.984842 3.05974 -2.939727 -1.200994 -2.693709
870.0 0.935676 -2.44757 -1.09179 -1.173922 -2.346937
880.0 1.165057 -2.841644 2.961077 -1.460285 -3.074781
890.0 0.922693 -2.968564 -2.955463 -1.295878 -2.449641
900.0 1.316853 -3.052462 3.101011 -1.293707 -2.57143
910.0 1.448475 -2.669867 1.355493 -1.138717 -2.975309
920.0 1.178753 -1.102046 -0.916 -1.435584 -2.839822
930.0 0.939305 3.070019 -2.803351 -1.502548 -2.949799
940.0 1.429386 -2.896567 -2.838364 -1.362473 2.902046
950.0 0.998655 -3.025765 -2.684266 -1.46752 -3.136761
960.0 1.262791 -2.995559 -3.032583 -1.422513 -2.688043
970.0 0.863098 3.095698 3.111453 -1.638821 -2.969603
980.0 1.135446 -2.802423 -2.95397 -1.555089 -2.809183
990.0 1.160859 -1.126157 -0.944446 -1.121913 -2.590368
1000.0 1.081712 -3.050915 -2.884296 -1.015756 -2.271327
1010.0 1.219566 -2.924881 -1.150331 -1.317136 -2.688476
1020.0 1.197931 -2.654967 -0.781827 -1.239278 -2.71163
1030.0 0.987737 2.886623 -2.896768 -1.428072 -2.604176
1040.0 1.206419 2.663739 -2.958664 -1.202039 -2.588734
1050.0 1.126197 -2.90267 -2.925266 -1.103621 -2.54783
