time phi1_2 psi1_2 omega1_2 phi1_3 psi1_3
950.0 -1.355609 -2.780938 -3.034637 -1.047053 -2.66933
960.0 -1.136763 -3.125774 -2.953074 -1.189843 -2.434989
970.0 -1.234418 -2.344219 3.118131 -1.28934 -2.787324
980.0 -0.986238 -2.933124 3.096389 -1.262008 -2.317221
990.0 -0.93948 3.08603 -0.902462 -1.345797 -2.574217
1000.0 -1.136034 2.673176 -2.844683 -1.134731 -2.39556
1010.0 -1.295413 2.869173 -1.171852 -1.366538 -2.357323
1020.0 -1.31326 -2.961006 -0.866808 -1.124624 -2.636778
1030.0 -1.411074 2.97662 -1.176637 -1.617316 -3.052616
1040.0 -1.314037 -2.844246 -3.106189 -1.102047 -2.697207
1050.0 -1.337653 -2.959911 3.112941 -1.513995 3.137345
1060.0 -1.219319 -3.077704 -2.851446 -1.371759 -2.840167
1070.0 -1.195065 -3.107888 1.17478 -1.722224 -2.869877
1080.0 -1.426928 -3.080106 -2.97791 -1.122107 -1.971263
1090.0 -1.030476 -3.076056 -0.9681 -1.210291 -2.904218
1100.0 -1.309632 3.030731 -3.048685 -1.149024 -2.687499
1110.0 -1.091403 3.127089 -1.295509 -0.925371 -2.563995
1120.0 -1.114798 -2.935163 -1.027256 -1.04761 -2.457785
1130.0 -1.170279 -3.055079 -3.085068 -1.613498 -2.895309
1140.0 -1.336729 3.003517 -3.003403 -1.675493 -2.913717
1150.0 -1.201371 -2.981304 -0.912896 -1.438508 -2.699209
1160.0 -1.344628 2.938738 -0.95397 -1.196739 -2.670642
1170.0 -1.279056 3.095087 -2.879244 -1.016521 -2.577669
1180.0 -1.43545 -2.782693 -3.039709 -1.080568 -2.224398
1190.0 -1.190452 2.847597 -2.977524 -1.031662 -2.162258
1200.0 -1.321845 2.919061 -2.938918 -1.097561 -1.863436
1210.0 -1.506092 -3.051411 -2.931256 -1.228134 -2.637302
1220.0 -1.309137 -2.815157 -2.957165 -1.305608 -2.444859
1230.0 -1.282167 -3.12183 -2.937531 -0.726839 -2.147718
1240.0 -1.243423 1.997633 -2.945922 -1.493378 -2.661142
1250.0 -1.188817 3.083641 -3.088216 -1.216288 -2.208489
1260.0 -1.363372 -2.882479 -3.006004 -0.974657 -2.190937
1270.0 -1.148812 3.018361 -3.120928 -1.331659 -2.352457
1280.0 -1.542335 -3.119225 -2.773398 -1.407585 -2.373637
1290.0 -1.07945 -3.000073 -3.115597 -1.178885 -3.056266
1300.0 -1.515484 -2.888149 -3.107455 -0.912134 -2.029637
1310.0 -1.281408 -3.092391 -2.94294 -1.243095 -2.106109
1320.0 -1.141696 -3.063631 -2.97303 -1.512077 -3.03195
1330.0 -1.46357 -2.992803 -3.118457 -0.91387 -2.152439
1340.0 -1.173586 -2.906898 -3.057626 -1.053736 -2.547438
1350.0 -1.338557 2.935721 -2.957382 -1.056741 -2.322672
1360.0 -1.381381 3.047324 3.103604 -1.261632 -2.141851
1370.0 -1.302193 -2.99188 -3.002219 -1.211134 -2.161738
1380.0 -1.70741 -2.75758 -2.812914 -1.332471 -2.137999
1390.0 -0.939441 -2.960493 3.075462 -1.074346 -1.949029
1400.0 -1.543427 -2.977742 -2.868468 -1.491535 3.118204
1410.0 -1.05874 -3.028581 -2.984816 -1.215613 -2.366784
1420.0 -0.991817 -2.84884 -2.795778 -1.403855 -2.9104
1430.0 -1.488146 -2.874922 -2.970862 -1.559717 3.030117
1440.0 -1.152268 -2.937119 3.031209 -0.81741 -2.226448
1450.0 -1.319117 -3.084386 3.1377 -1.258271 -2.377928
1460.0 -0.991411 3.077941 -2.949695 -1.348994 2.984832
1470.0 -1.404821 -2.608755 3.134844 -1.258328 -2.057389
1480.0 -1.297982 -3.112626 0.967429 -0.90663 -2.208478
1490.0 -1.188673 2.867288 -3.009418 -1.030773 -2.008469
1500.0 -1.646597 -2.940457 -2.951245 -1.154745 -2.161624
1510.0 -1.245769 -2.920637 -2.992252 -1.243879 -1.883711
1520.0 -1.120844 2.981715 -2.919322 -1.199141 -2.859935
1530.0 -1.286648 2.872032 -2.987229 -1.28727 -2.476583
1540.0 -1.11702 -3.041022 -3.057602 -1.792751 -3.074699
1550.0 -1.384278 3.130086 3.139012 -1.188236 -2.434281
1560.0 -1.475016 3.011319 1.121167 -1.032719 -2.12134
1570.0 -1.2928 3.089613 -3.112841 -1.56546 -3.063626
1580.0 -1.126815 2.814539 -3.034145 -0.997272 -2.538886
1590.0 -1.358294 -3.013718 2.976191 -1.421716 -2.729668
1600.0 -1.370628 -2.936334 -2.964885 -1.521133 -3.030591
1610.0 -1.226439 -2.964121 -2.923039 -1.424443 -2.157905
1620.0 -1.452901 -2.804432 -3.026801 -0.954752 -2.867189
1630.0 -1.401328 -3.132292 -3.02888 -0.890948 -2.320337
1640.0 -1.136318 3.034947 -3.042564 -1.209385 -2.017846
1650.0 -1.484114 3.109107 -3.043246 -0.867139 -2.558228
1660.0 -1.183164 -3.124898 -3.081479 -1.357287 -2.511041
1670.0 -1.342782 3.036947 -3.065959 -1.232062 -2.788869
1680.0 -1.271177 2.37485 3.069984 -1.044142 -2.512109
1690.0 -1.507047 -3.108881 -2.899661 -1.186513 -2.185356
1700.0 -1.083886 -3.040059 -3.002164 -0.990336 -2.223155
1710.0 -1.398662 -2.99811 -3.033596 -1.282989 -2.763843
1720.0 -0.944354 2.8537 -2.991869 -1.353414 -3.04081
1730.0 -1.260434 3.038779 -3.024134 -1.226802 -2.708306
1740.0 -0.74585 -2.940752 -2.95459 -1.562919 -2.055615
1750.0 -1.396 -2.71222 -3.103076 -1.467069 -2.659751
1760.0 -1.209736 -2.885994 3.117139 -1.408699 -3.057412
1770.0 -1.13576 -3.025386 -3.107716 -1.524464 2.961851
1780.0 -1.265653 -3.076775 -3.101912 -0.984744 -2.456172
1790.0 -1.325931 -2.92601 -3.017089 -1.572545 -2.803643
1800.0 -1.506569 -2.667941 -3.012992 -1.553952 -3.077758
1810.0 -1.32553 3.0179 3.100734 -1.31732 -2.335108
1820.0 -1.228429 2.477985 3.098746 -1.255471 3.032615
