time phi1_2 psi1_2 omega1_2 phi1_3 psi1_3
970.0 0.923503 -2.697 1.121017 -1.301867 -1.785887
980.0 1.313101 -2.601641 1.283125 -1.230027 -2.442406
990.0 1.021701 -2.400246 1.22745 -1.274748 -1.923737
1000.0 0.982111 -2.94876 -2.991186 -1.150928 -2.048829
1010.0 1.180355 -3.003463 1.052278 -0.984056 -2.233255
1020.0 1.126299 -2.649588 1.113125 -1.156792 -2.598708
1030.0 1.330132 -3.020632 -2.670747 -1.676235 3.137209
1040.0 0.902326 -2.66135 1.197075 -1.152347 -2.544313
1050.0 0.895921 2.571174 1.083663 -0.928727 -2.501914
1060.0 1.225888 -2.313227 1.226027 -1.235431 -2.08762
1070.0 1.306086 -2.631947 1.109586 -1.27864 -2.26003
1080.0 0.959409 3.071317 1.233044 -1.0791 -2.185964
1090.0 1.167366 -2.737594 1.105789 -1.295233 -2.302035
1100.0 1.115919 -2.829493 1.018136 -1.196929 -1.838068
1110.0 1.273171 -2.581494 0.939051 -0.893051 -2.329223
1120.0 0.901643 -2.870881 0.847949 -1.198285 -1.880466
1130.0 0.825515 -2.898655 -2.928605 -1.932105 -2.63597
1140.0 0.958636 2.992143 1.117127 -1.415331 -2.811034
1150.0 1.241578 2.98756 0.892016 -1.54698 -2.947671
1160.0 0.972912 -3.071376 1.126466 -1.40584 -3.057623
1170.0 1.112448 -2.929257 1.08866 -1.212084 -1.740359
1180.0 1.252111 -2.974671 1.235183 -0.979726 -2.624764
1190.0 0.940777 -2.988475 0.960155 -1.263656 -2.768873
1200.0 1.007232 -3.100935 1.034294 -1.026066 -2.2196
1210.0 0.97456 -3.07071 1.191124 -0.948047 -2.316645
1220.0 1.08814 -2.908823 1.32557 -1.121863 -1.948739
1230.0 1.268012 -3.135851 1.003026 -1.238709 -2.598679
1240.0 0.88566 -2.962932 1.488734 -1.172702 -2.700498
1250.0 1.095084 -2.697704 1.146627 -1.364997 -2.961182
1260.0 1.300313 -2.907942 1.295075 -1.011672 -2.423664
1270.0 1.066253 -3.016033 1.077937 -1.559052 -3.121538
1280.0 1.261025 -3.097188 0.967506 -1.494518 -2.960806
1290.0 1.012975 -2.896855 1.191073 -1.085658 -2.775007
1300.0 1.134517 -2.875668 1.305134 -1.420831 -2.477738
1310.0 0.997659 -2.86521 1.179494 -1.140235 -2.342963
1320.0 0.835326 -3.119281 1.017755 -0.990142 -2.572601
1330.0 1.19717 -3.087887 -1.151447 -1.088019 -2.947968
1340.0 1.048364 -2.85 1.193811 -1.161794 -2.761689
1350.0 0.932751 -3.010456 1.238253 -1.251917 -2.426864
1360.0 0.901177 2.887806 1.075057 -1.020587 -2.187803
1370.0 0.921396 -2.284585 1.628312 -1.292208 -2.426344
1380.0 1.109738 -2.998194 3.07348 -1.048668 -2.228815
1390.0 1.043331 -2.433445 3.06356 -1.877548 -2.775777
1400.0 0.759271 -2.953088 0.952282 -1.083878 -2.175039
1410.0 0.993074 3.066946 1.143173 -1.45277 -2.397761
1420.0 1.097203 2.870144 1.106307 -1.088533 -2.083128
1430.0 0.898395 -2.722733 -2.968547 -1.272865 -2.247201
1440.0 1.222295 -3.004474 -2.780851 -1.138811 -2.537376
1450.0 1.07502 -2.964058 1.139282 -1.20766 -1.904382
1460.0 1.319937 -3.09704 -2.900816 -1.110674 -2.301635
1470.0 1.199235 -3.114217 -3.043294 -1.475923 -2.406657
1480.0 1.207752 -2.741597 -0.916895 -1.232498 -2.056192
1490.0 1.07167 -2.960907 3.139162 -1.02991 -2.334101
1500.0 1.046279 -3.019372 1.298319 -1.256973 -2.094119
1510.0 1.18539 -2.552639 0.922253 -1.12198 -1.998686
1520.0 1.037199 -2.758053 0.95595 -1.424124 -2.631551
1530.0 1.206018 -2.805682 -2.834724 -1.103857 -1.807066
1540.0 1.075036 -2.639783 1.279221 -1.240864 -2.698758
1550.0 1.154445 2.809181 -1.006365 -1.368707 -3.008855
1560.0 0.998322 3.051752 1.007494 -1.205379 -2.47159
1570.0 0.851792 -3.007531 1.392958 -1.285233 -2.4482
1580.0 1.33372 -3.003762 1.147631 -0.981858 -2.444278
1590.0 0.994472 3.131682 0.929822 -1.095158 -2.356912
1600.0 1.089784 -2.813709 -0.984663 -1.246742 -2.650386
1610.0 1.121039 -2.973998 -3.070576 -1.23592 -2.669683
1620.0 1.27017 -2.966066 -2.575927 -1.470644 -2.489343
1630.0 1.024648 -2.691715 -1.000242 -1.226917 -2.498174
1640.0 1.268065 -2.740717 0.940265 -1.068868 -2.673079
