time phi1_2 psi1_2 omega1_2 phi1_3 psi1_3
0.0 -1.307142 -3.042002 -3.108066 -1.257165 -2.507444
10.0 -1.258065 -3.044141 -3.012808 -1.161538 -2.379826
20.0 -1.105822 -2.693908 -3.050133 -1.083413 -2.251223
30.0 -1.360753 2.894231 -3.128242 -1.159534 -1.978099
40.0 -1.056821 -2.669099 -3.122443 -1.340337 -2.827982
50.0 -1.057644 2.745481 3.113376 -1.389389 -2.989848
60.0 -1.186411 -2.985084 -2.951156 -1.37739 2.798491
70.0 -1.172526 2.742386 -2.697535 -0.959411 -2.207555
80.0 -1.344101 2.651993 -3.028445 -1.252837 -2.583848
90.0 -1.159105 2.882739 -2.804923 -1.203905 -2.460768
100.0 -1.198247 -3.137521 -3.101193 -1.21142 -2.136797
110.0 -1.308239 3.016318 -3.004792 -2.140972 -2.761439
120.0 -1.152598 -2.860491 -2.894762 -1.363154 -2.860332
130.0 -1.223104 1.320348 3.139017 -1.056321 -2.30788
140.0 -1.584125 2.080132 -3.061957 -1.174302 -2.449604
150.0 -1.285935 -2.716916 -2.929565 -0.986896 -2.442919
160.0 -1.381057 3.012499 -2.93362 -1.179825 -2.611239
170.0 -1.198485 -3.097637 -2.851536 -2.018691 -2.755318
180.0 -1.239915 -2.911641 3.077779 -1.325004 -2.672962
190.0 -1.0361 -2.968145 -3.02139 -1.461904 -2.307284
200.0 -1.007514 -3.1248 -3.11829 -1.65506 -3.001716
210.0 -1.130162 3.120345 -2.950362 -1.374207 -2.429881
220.0 -1.383843 -3.072019 -2.557697 -1.245217 -2.514802
230.0 -1.485248 -2.854183 -3.123986 -1.278315 -2.136091
240.0 -1.093334 2.832204 3.075074 -1.907304 -2.713422
250.0 -1.377797 -2.883926 -3.043154 -1.318859 -2.884239
260.0 -1.276997 3.008427 -3.117532 -1.844059 -2.886608
270.0 -0.912403 -3.135138 2.969023 -1.389394 -2.816165
280.0 -1.340941 2.951409 3.12527 -1.350187 -2.748035
290.0 -1.082518 2.997897 -2.977047 -1.096436 -2.219611
300.0 -1.235907 -2.870898 -2.917553 -1.11871 -2.413079
310.0 -1.400223 -3.019545 -3.042635 -1.551666 -2.395021
320.0 -1.520332 -2.590747 -3.074495 -1.067851 -2.484626
330.0 -1.281177 -2.60358 -3.059899 -1.523277 -2.716151
340.0 -1.255737 -2.713019 3.088129 -1.177767 -2.000103
350.0 -1.25081 2.863598 -2.81117 -1.886299 -2.669067
360.0 -1.321628 -2.995007 -2.969203 -1.159859 -2.575398
370.0 -0.56686 -2.858915 -2.882565 -1.248 -2.317985
380.0 -1.243318 -3.100066 -2.880372 -0.885183 -2.501366
390.0 -1.537868 -3.140794 -3.096999 -1.463169 -2.843176
400.0 -1.286894 3.134944 -3.07463 -1.005787 -2.335701
410.0 -1.232392 3.116788 -2.949826 -0.796229 -2.436316
420.0 -1.280277 -3.134863 -2.908339 -1.231963 -2.361522
430.0 -1.333504 -2.971466 -2.912772 -0.668985 -2.465392
440.0 -1.22743 -3.059197 -2.89886 -1.163167 -2.179022
450.0 -1.271031 -2.977757 -3.071926 -1.178739 -2.171335
460.0 -1.488375 -2.910886 -2.858458 -1.05278 -1.807905
470.0 -1.281108 -3.108824 3.118401 -0.907221 -2.421018
480.0 -1.186695 -2.478358 -3.058596 -1.198703 -2.081141
490.0 -1.414368 -3.014151 -3.078343 -1.153029 -2.661549
500.0 -1.330884 3.039919 -2.942516 -1.471764 -2.648939
510.0 -0.79566 2.808905 -3.033904 -0.937009 -2.808843
520.0 -1.229155 1.777349 2.96391 -1.322257 -2.612573
530.0 -1.224403 2.840586 -3.019771 -1.242763 -2.166443
540.0 -1.340788 -2.955553 -2.982805 -0.867977 -2.004809
550.0 -1.269002 3.071219 -2.858869 -1.644937 -2.622366
560.0 -1.175268 -3.111351 1.225704 -1.435115 -2.477388
570.0 -1.058652 3.118133 -2.971059 -1.222776 -2.216919
580.0 -1.041597 3.064664 -2.938478 -1.282643 -2.505512
590.0 -1.095288 -3.029806 2.946627 -1.405611 -2.789421
