time phi1_2 psi1_2
0.0 -1.047279 -2.363769
10.0 -1.42322 -2.669085
20.0 -1.310031 -2.324554
30.0 -1.1903 -1.843527
40.0 -1.071544 -2.115069
50.0 -1.429428 -2.410474
60.0 -1.355303 -2.458401
70.0 -1.219797 -1.936833
80.0 -1.156146 -2.602053
90.0 -1.096413 -2.480503
100.0 -0.914271 -2.555294
110.0 -1.545711 -2.723637
120.0 -1.069269 -2.750831
130.0 -1.331127 -2.214683
140.0 -1.080436 -2.101743
150.0 -1.351785 3.07161
160.0 -0.884688 -2.20447
170.0 -1.348005 -2.247108
180.0 -1.342178 -2.370108
190.0 -1.239858 -2.50015
200.0 -1.04701 -2.600429
210.0 -1.140897 -2.55738
220.0 -1.194192 -2.3306
230.0 -1.03577 -2.028611
240.0 -1.350388 -2.425035
250.0 -1.136581 -2.582322
260.0 -0.909707 -2.290654
270.0 -1.240166 -2.191564
280.0 -0.954411 -2.610132
290.0 -1.369319 -2.182532
300.0 -1.181633 -2.395688
310.0 -1.357861 -2.115612
320.0 -1.515106 -2.578826
330.0 -1.069588 -2.816566
340.0 -1.033095 -2.226489
350.0 -0.912144 -2.270121
360.0 -1.381126 -2.4526
370.0 -0.874876 -2.075588
380.0 -1.508292 -2.683868
390.0 -1.546903 -2.710157
400.0 -1.385011 -2.629408
410.0 -1.491983 -2.29618
420.0 -1.701761 -2.525287
430.0 -1.335789 -2.043974
440.0 -1.26668 -2.468751
450.0 -1.015969 -2.224711
460.0 -0.940035 -2.461391
470.0 -1.157169 -2.273319
480.0 -0.9114 -2.514421
490.0 -0.96676 -2.340536
500.0 -1.134987 -2.122833
510.0 -1.40293 -2.32871
520.0 -1.253468 -2.028549
530.0 -1.147274 -2.495573
540.0 -1.089969 -2.166758
550.0 -1.135981 -2.081981
560.0 -1.424666 -2.409024
570.0 -1.108888 -2.363663
580.0 -0.811975 -2.57818
590.0 -1.199001 -2.132352
600.0 -2.51252 -2.793974
610.0 -1.249704 -2.142052
620.0 -1.373011 -2.352118
630.0 -1.068863 -2.064175
640.0 -1.2242 -2.511816
650.0 -1.181431 -2.46126
660.0 -1.191159 -2.294539
670.0 -1.325506 -2.43341
680.0 -1.318581 -1.930464
690.0 -1.370297 -2.411381
700.0 -1.205148 -2.164664
710.0 -0.897356 -2.408605
720.0 -1.605559 -2.778982
730.0 -1.254815 -2.95888
