time phi1_2 psi1_2
2060.0 1.335212 -2.835598
2070.0 1.003986 -2.781425
2080.0 1.115189 -2.692582
2090.0 1.121144 -2.961468
2100.0 1.041585 -3.047044
2110.0 1.497892 -2.73757
2120.0 1.082422 -2.864397
2130.0 1.540303 -2.854631
2140.0 1.49395 -2.777634
2150.0 1.266102 -2.929691
2160.0 1.304648 -2.899103
2170.0 1.739557 -2.545514
2180.0 1.368643 -2.92498
2190.0 1.70977 -2.727681
2200.0 1.593561 -2.691379
2210.0 1.945422 -2.738643
2220.0 1.150355 -2.690056
2230.0 1.18964 -2.632815
2240.0 1.328705 3.100097
2250.0 1.095942 -2.889396
2260.0 1.596383 -2.78265
2270.0 1.503999 -2.867131
2280.0 1.461934 -2.714374
2290.0 1.328539 -3.026663
2300.0 1.059667 -2.615663
2310.0 0.993868 2.952988
2320.0 1.277784 -2.804447
2330.0 1.141239 -3.119346
2340.0 1.75759 -2.881518
2350.0 0.706344 -3.13835
2360.0 0.900569 -2.745663
2370.0 1.08225 -3.02207
2380.0 1.686181 -2.694249
2390.0 0.891011 3.122077
2400.0 1.053405 3.124716
2410.0 1.042703 -2.958264
2420.0 1.139539 -2.865915
2430.0 1.409594 -2.935624
2440.0 1.755397 -2.883024
2450.0 0.800334 -2.933038
2460.0 1.18519 -2.585536
2470.0 1.406891 -2.819445
2480.0 0.955835 -2.734582
2490.0 1.036349 -2.749988
2500.0 0.816918 -2.901013
2510.0 1.312489 2.322752
2520.0 0.954759 -3.002288
2530.0 0.887969 -2.841911
2540.0 1.086945 -3.081947
2550.0 1.072762 -2.830482
2560.0 1.284221 3.121444
2570.0 1.294952 -3.052162
2580.0 1.714581 -2.71113
2590.0 1.38895 -2.879853
2600.0 1.636153 -2.781024
2610.0 1.187927 -2.852825
2620.0 0.968104 3.110022
2630.0 0.969042 -3.014945
2640.0 1.234883 -2.869027
2650.0 0.936852 -2.978837
2660.0 0.825523 -2.870541
2670.0 0.790511 -2.925447
2680.0 1.430441 -3.030878
2690.0 1.385445 -3.012932
2700.0 1.227912 -2.713403
2710.0 1.237722 -2.987447
2720.0 1.169294 -2.900164
2730.0 1.069379 2.791609
2740.0 1.22178 3.119157
2750.0 0.816641 -2.626862
2760.0 0.736538 -3.065034
2770.0 1.250229 -3.040354
2780.0 1.652899 -2.898242
2790.0 1.555341 -2.838038
2800.0 2.001964 -2.750271
2810.0 0.990902 -3.030405
2820.0 1.556065 -2.542935
2830.0 1.738474 -2.866009
2840.0 1.40567 -3.0362
2850.0 1.533022 -2.854564
2860.0 1.43963 -3.040412
2870.0 1.601615 -2.802369
2880.0 0.974039 -2.773421
2890.0 1.493087 -3.049562
2900.0 1.387662 -2.89311
2910.0 1.267255 -2.917482
2920.0 0.975737 -2.980652
2930.0 0.917011 -3.035599
2940.0 1.465391 3.054172
2950.0 1.190287 -3.039642
2960.0 1.288158 -2.652732
2970.0 1.328569 -3.061976
2980.0 1.033047 -2.679549
2990.0 0.949127 -2.9088
3000.0 1.130494 -3.116758
3010.0 1.001426 -2.964768
3020.0 1.057517 -2.882237
3030.0 0.891878 2.783838
3040.0 1.117955 -2.773393
3050.0 1.071692 -2.879876
3060.0 1.054759 -2.921395
3070.0 0.800205 -2.768022
3080.0 0.975555 2.489529
3090.0 1.186739 -2.827632
3100.0 1.298167 -2.96162
3110.0 1.21208 2.91233
3120.0 1.039869 -2.901294
3130.0 1.102071 -2.428319
3140.0 1.451612 -2.827377
3150.0 0.992543 -2.885759
3160.0 1.146976 -3.124955
3170.0 0.857372 -2.962525
3180.0 1.090176 -3.087832
3190.0 1.112645 3.12563
3200.0 1.031673 -2.89462
3210.0 1.216114 -2.889423
3220.0 1.327312 -2.808111
3230.0 1.201367 -2.631395
3240.0 1.915648 -2.886021
3250.0 0.909546 -2.925776
3260.0 1.367527 -2.63232
3270.0 0.930199 2.925857
3280.0 1.219654 -2.931055
3290.0 1.200953 -2.934962
3300.0 1.124281 -2.767178
3310.0 1.022782 3.066388
3320.0 1.719944 -2.772042
3330.0 0.984224 -2.594317
3340.0 0.941365 -2.852041
3350.0 1.576852 -2.700462
3360.0 1.465968 -2.781978
3370.0 1.728909 -2.670888
3380.0 0.882011 -2.899186
3390.0 1.105505 -2.983661
3400.0 1.162313 -2.714175
3410.0 1.057673 -2.927223
3420.0 1.214721 -2.691256
3430.0 1.079709 -2.900973
3440.0 1.195174 -2.936264
3450.0 1.584383 -2.750812
3460.0 1.083764 -2.929132
3470.0 1.151284 -2.825344
3480.0 0.914307 -3.031496
3490.0 1.110215 -3.111966
3500.0 1.409737 -2.917666
3510.0 1.182162 -2.959034
3520.0 1.148946 -3.135553
3530.0 0.950148 -2.825618
3540.0 1.468307 -2.903139
3550.0 0.996484 -2.862525
3560.0 0.959277 -2.806741
3570.0 1.312706 -2.854244
3580.0 1.046879 -2.957331
3590.0 1.229819 -2.8869
3600.0 1.261991 3.078221
3610.0 0.92575 -2.826197
