time phi1_2 psi1_2 omega1_2
1520.0 0.765139 -3.052459 -3.056014
1530.0 1.159699 -2.808104 -3.095116
1540.0 0.801545 2.427388 -2.984479
1550.0 0.820898 -2.845345 -2.947161
1560.0 1.174902 3.081209 -2.92279
1570.0 1.180347 -2.634071 3.034621
1580.0 1.215931 -3.018161 -3.00352
1590.0 1.045505 3.082556 3.06924
1600.0 1.423892 -2.975811 -2.893255
1610.0 1.231634 -3.025792 -2.840841
1620.0 1.143312 -2.928964 -2.798957
1630.0 1.109544 -2.751024 -2.970943
1640.0 1.08898 -3.017471 -2.959584
1650.0 0.887252 3.087421 -3.044655
1660.0 0.948718 2.67676 -2.991295
1670.0 1.111529 -2.623829 -3.139029
1680.0 1.234861 -2.802849 -0.923213
1690.0 1.010322 -2.794076 3.080678
1700.0 0.819381 -2.925085 -3.112703
1710.0 0.784034 2.932594 -3.057924
1720.0 1.360662 -3.004888 -2.924411
1730.0 1.054132 -2.706797 -0.788973
1740.0 1.383773 -3.057948 -3.110219
1750.0 0.826482 -3.139562 -2.881973
1760.0 1.074016 -2.577555 -3.070296
1770.0 0.994915 -3.020001 -1.03615
1780.0 1.091993 -2.93562 -1.052112
1790.0 1.47263 -2.82413 -2.815361
1800.0 1.048035 3.068139 -0.698483
1810.0 1.449841 -2.940469 -2.956293
1820.0 1.329434 -3.140354 -2.906061
1830.0 1.317809 -2.933724 -2.791978
1840.0 1.161246 -2.800602 3.075901
1850.0 1.192394 -3.072241 -2.767892
1860.0 1.504493 -2.83636 -2.88151
1870.0 1.336861 -2.663309 -2.905142
1880.0 1.171909 -2.405158 1.236721
1890.0 0.921666 -2.173647 -0.919957
1900.0 1.086621 -2.896606 -2.877788
1910.0 1.24905 -2.806582 -2.960858
1920.0 1.001758 3.128132 -0.973166
1930.0 1.117213 -2.916706 -0.827798
1940.0 1.207598 -2.840324 -1.181727
1950.0 0.638901 -2.970805 1.062223
1960.0 1.311986 -3.058977 2.969915
1970.0 1.044871 3.128964 -2.872855
1980.0 1.04695 -2.976028 3.110278
1990.0 1.059512 -3.128869 -2.899737
2000.0 1.169055 -2.420633 1.073304
2010.0 1.434538 -3.100705 1.082382
2020.0 1.15061 3.031253 -2.895017
2030.0 1.051947 3.078724 -2.970303
2040.0 1.08258 -2.808639 -2.961412
2050.0 1.039415 -1.827696 -0.614353
2060.0 0.935942 2.398113 3.107935
2070.0 0.968034 -2.827567 -3.004997
2080.0 1.205256 -3.114063 1.328979
2090.0 1.198386 -3.071775 -2.95811
2100.0 0.897062 -3.018951 -3.038264
2110.0 0.973237 -3.061431 -3.024399
2120.0 0.7832 -2.946098 -2.969562
2130.0 0.748928 -3.133258 -2.887093
2140.0 0.814423 -3.128685 -2.970556
2150.0 1.10131 -2.903036 -0.996217
2160.0 1.493709 -3.06279 -3.01899
2170.0 1.165063 -2.863642 -2.846331
2180.0 1.043614 -2.657603 -3.025987
2190.0 1.195944 -2.955195 -3.058448
2200.0 1.182522 -2.829782 -1.041897
2210.0 1.025719 3.079173 -2.764847
2220.0 2.700867 2.605427 -3.136527
2230.0 1.056857 3.035958 -2.837274
2240.0 0.947599 -1.408418 -0.780827
2250.0 1.120518 -2.870632 1.03965
2260.0 1.420502 -2.728767 -0.831389
2270.0 0.922217 -2.958304 -0.880666
2280.0 0.771065 2.989734 -0.830853
2290.0 0.799712 2.942385 -0.792021
2300.0 1.345189 -2.841735 -2.742386
2310.0 1.306354 -2.856012 -2.849266
2320.0 1.036608 -2.803701 -1.022681
2330.0 1.422861 -3.107804 -2.808641
2340.0 1.169136 -3.0014 -3.119694
2350.0 1.063416 -3.100584 3.104768
2360.0 1.324748 -2.87177 -2.941544
2370.0 1.109788 -2.75273 -3.084971
2380.0 1.235632 -3.028035 -2.820097
2390.0 1.298114 -2.983061 -0.953628
2400.0 1.093738 -2.914338 -2.880612
2410.0 1.246611 -2.633143 3.138857
2420.0 0.693002 2.937393 -3.048969
2430.0 0.827818 -2.960998 3.084955
2440.0 1.274718 -2.934268 -1.079193
2450.0 0.616268 -3.042487 -2.800034
2460.0 1.299532 -3.005058 -2.809029
2470.0 1.135373 -2.817802 -2.890795
2480.0 0.85834 -3.063362 -2.995179
2490.0 1.24322 -2.904607 3.137736
2500.0 1.058199 -2.849877 3.133752
2510.0 1.263707 -2.943119 -3.003992
2520.0 0.969076 -3.079107 3.040371
2530.0 1.207867 -2.802141 -2.689908
2540.0 0.958982 -3.043963 -3.023196
2550.0 1.240232 -3.025741 -2.892059
2560.0 1.001366 3.116605 -2.935485
2570.0 1.190184 -3.013419 -3.046722
2580.0 1.126624 -2.765744 -2.720768
2590.0 1.014231 -2.904936 -2.864116
2600.0 1.033692 -2.944933 -2.944525
2610.0 0.913135 -3.084607 2.951128
2620.0 0.809862 2.702292 2.983689
2630.0 0.815352 2.832264 -3.027262
2640.0 1.17959 -3.011436 3.039089
2650.0 1.163794 -3.055417 3.117553
2660.0 1.098417 -2.85523 -2.648727
2670.0 1.236934 -3.072839 -3.06004
2680.0 1.089331 -2.859033 -2.796057
2690.0 0.981205 3.130929 -2.950748
2700.0 0.97996 -3.075611 -2.955683
2710.0 1.065447 -3.014288 -1.54222
2720.0 0.965851 -2.664073 -3.013648
2730.0 1.177863 -2.991708 3.008775
2740.0 1.043989 -2.874812 -2.875896
2750.0 1.09072 -2.702578 -3.056133
2760.0 1.190005 -2.810089 -2.895953
2770.0 1.010543 -3.078688 2.887529
2780.0 1.255128 2.880286 3.044697
