time phi1_2 psi1_2 omega1_2
1470.0 -1.349758 1.481529 -2.971235
1480.0 -1.494338 1.433945 -3.132903
1490.0 -1.513882 -2.852882 -3.094539
1500.0 -1.337413 -2.949821 -3.046761
1510.0 -1.133371 3.063269 -3.104513
1520.0 -1.10638 -2.831407 3.108808
1530.0 -1.213994 3.014323 -3.012838
1540.0 -1.218763 2.79819 -2.855804
1550.0 -1.22391 2.880955 3.132353
1560.0 -1.438841 1.765492 -2.866999
1570.0 -1.376219 2.950248 -3.04956
1580.0 -1.105784 2.960596 3.06628
1590.0 -0.845479 2.78895 -1.045802
1600.0 -0.780485 -2.725054 -0.902661
1610.0 -1.173916 -2.285537 -0.855314
1620.0 -1.322155 2.865034 -1.253333
1630.0 -1.282271 -3.023703 3.09771
1640.0 -1.530522 2.645708 -2.964573
1650.0 -1.312876 2.836367 -2.906338
1660.0 -1.455452 -2.936063 -2.949893
1670.0 -1.220336 3.12796 -2.918283
1680.0 -1.325842 3.017125 -2.923705
1690.0 -1.144463 2.990364 -2.850963
1700.0 -1.283079 -2.941167 -2.887438
1710.0 -1.142728 -3.076699 -0.934701
1720.0 -1.312038 -3.009766 -3.105792
1730.0 -1.336277 -2.808881 2.971902
1740.0 -1.215419 -2.959586 -3.0597
1750.0 -1.631887 3.079059 -2.925853
1760.0 -1.66051 3.076214 -2.971462
1770.0 -0.842688 -2.835283 -2.874349
1780.0 -1.290346 -3.092649 3.113311
1790.0 -1.324623 -3.069663 -2.943389
1800.0 -1.086386 -2.953014 3.095174
1810.0 -1.231157 -2.75082 -2.978747
1820.0 -1.027659 -3.008277 -2.938577
1830.0 -0.907866 -3.064585 -3.072036
1840.0 -0.882201 -3.029015 -3.04001
1850.0 -1.091429 -3.018263 -3.124862
1860.0 -1.504296 -2.758379 -2.907799
1870.0 -0.706436 2.505672 -3.050179
1880.0 -1.369385 3.137883 -3.076209
1890.0 -1.058576 -3.106462 -2.855494
1900.0 -1.33311 -3.007268 -3.134763
1910.0 -1.217213 2.956209 3.101099
1920.0 -1.232496 2.894837 0.946724
1930.0 -2.003014 -2.782934 -3.018815
1940.0 -1.173186 -2.884365 3.139369
1950.0 -1.483499 2.984043 1.202913
1960.0 -1.336566 -2.947854 -2.748422
1970.0 -0.914927 1.913886 -3.005718
1980.0 -1.213863 -3.052894 -3.081729
1990.0 -1.261462 -2.80451 2.881213
2000.0 -1.003065 2.022053 2.976719
2010.0 -1.260921 2.701466 -3.005119
2020.0 -1.509886 -2.968137 3.111889
2030.0 -1.465499 -1.570288 -1.145721
2040.0 -1.421263 3.099868 -2.864805
2050.0 -1.451828 3.054866 -2.936502
2060.0 -1.091727 2.968775 -2.914443
2070.0 -1.316786 3.085776 -3.025997
2080.0 -0.946177 3.068492 -2.879906
2090.0 -1.380584 -2.992572 -2.892521
2100.0 -1.046709 -3.109843 3.071467
2110.0 -1.186925 2.891044 -2.701259
2120.0 -1.255296 -2.593655 -3.014018
2130.0 -0.951044 -2.692387 -2.805065
2140.0 -1.099575 -2.996334 -2.959399
2150.0 -1.209649 -2.160948 3.136573
2160.0 -0.990676 -2.070712 -2.974119
2170.0 -1.403268 2.957988 3.027618
2180.0 -1.040144 -2.526695 -3.129839
2190.0 -1.252153 2.87801 -0.877376
2200.0 -1.287686 2.98772 0.96964
2210.0 -1.102247 -2.918721 -3.103507
2220.0 -1.292095 -2.92436 -2.662781
2230.0 -0.938072 -1.631658 -3.115767
2240.0 -0.916758 -2.977737 3.049252
2250.0 -1.34114 2.983478 -2.844223
2260.0 0.973674 -3.038713 -2.994692
2270.0 -1.098488 -3.107951 -2.974106
2280.0 -0.986802 2.758811 -2.965195
2290.0 -1.262013 3.064114 -2.907371
2300.0 -1.10649 -2.364962 -3.010418
2310.0 -1.219118 -3.061671 -3.101205
2320.0 -1.154136 -3.070621 2.922107
2330.0 -1.273457 2.922586 -2.980473
2340.0 -1.400731 3.075893 1.084031
2350.0 -0.992689 -3.092193 1.219288
2360.0 -1.451663 3.135178 -3.077212
2370.0 -1.24191 -2.595663 2.877503
2380.0 -1.021236 -3.067946 -2.752072
2390.0 -1.219055 -3.084495 -2.790691
2400.0 -1.229863 3.081408 -3.120395
2410.0 -1.014192 -2.857101 3.085999
2420.0 -1.586575 -3.137603 1.275689
2430.0 -1.209713 2.875283 -2.887669
2440.0 -1.158054 3.024103 -2.784815
2450.0 -1.073165 -2.741507 -0.957979
2460.0 -1.866883 -2.746666 -3.006967
2470.0 -1.276565 3.054867 -2.81721
2480.0 -1.246469 -2.696854 -2.813066
2490.0 -1.206923 2.862644 -2.865046
2500.0 -1.087713 2.872944 -3.071796
2510.0 -1.809774 -3.023932 -3.109641
2520.0 -1.368184 -3.085232 -3.029574
2530.0 -1.414737 -2.969176 -3.051941
2540.0 -0.978095 3.134416 2.936764
2550.0 -1.26416 -3.086969 -3.054743
2560.0 -1.273894 -3.032761 -3.113825
2570.0 -1.156427 -2.821242 -2.990899
2580.0 -1.336323 3.09573 -2.894657
2590.0 -1.44043 -2.662835 -2.999822
2600.0 -1.176305 -3.041796 -2.821569
2610.0 -1.209453 -3.022751 -2.992429
2620.0 -1.130536 -3.067374 -2.969509
2630.0 -1.080934 2.933867 -3.013699
2640.0 -1.217907 -3.089963 -3.036277
2650.0 -0.968232 3.021918 -3.037305
2660.0 -1.354599 -2.714175 -2.990667
2670.0 -1.205418 -2.889717 -2.829382
2680.0 -1.489546 -3.060131 -2.722291
2690.0 -1.105982 2.772943 -2.941611
2700.0 -1.194292 2.9876 -2.948583
2710.0 -1.273673 -3.095814 -2.961993
2720.0 -1.209808 -3.05013 -2.972067
2730.0 -1.342185 -3.084081 1.136582
2740.0 -1.209405 2.951922 -2.974174
2750.0 -1.283469 3.034567 -1.031792
2760.0 -1.524812 3.110017 1.083971
2770.0 -1.166472 -2.874938 -3.004043
2780.0 -1.186987 -2.908926 2.857334
2790.0 -1.29238 2.915653 -0.691826
2800.0 -1.349988 3.041787 -2.932744
2810.0 -1.22305 2.856906 -2.731338
2820.0 -0.803394 -2.945212 -2.99
2830.0 -1.280747 3.000355 -2.786434
2840.0 -1.057915 3.080134 -1.170334
2850.0 -1.023289 -1.381474 -2.914419
2860.0 -1.306988 3.10929 -0.91868
2870.0 -1.546307 -3.072217 -2.950928
2880.0 -1.456236 2.931773 -2.914117
2890.0 -1.444366 -2.687546 -0.629334
2900.0 -1.166803 -3.038304 -0.705527
2910.0 -1.667601 3.071983 -2.886882
2920.0 -1.311011 3.030649 -2.907554
2930.0 -1.387357 2.825046 3.123628
2940.0 -1.210733 2.915691 -3.033056
2950.0 -1.476474 3.072101 -2.980904
2960.0 -1.248617 2.896899 -2.956472
2970.0 -1.652559 2.616511 -3.006669
2980.0 -1.222795 -2.78895 -3.065706
2990.0 -1.168154 -1.299951 -2.847097
3000.0 -1.34717 2.892902 -2.836029
3010.0 -1.699638 1.093034 1.061481
3020.0 -1.328607 -3.034989 -3.040605
3030.0 -1.207687 1.890649 3.110522
3040.0 -1.552884 -2.818004 -3.040682
3050.0 -1.503525 -2.702661 3.084772
3060.0 -1.066722 -3.079157 -2.963341
3070.0 -1.133791 3.008856 1.06778
3080.0 -1.174829 -2.941612 1.128743
3090.0 -1.636389 -3.081319 -3.036737
3100.0 -1.30106 -3.115827 -3.022581
3110.0 -1.417921 2.981098 0.860889
3120.0 -1.332683 -3.031461 -3.076595
3130.0 -1.1457 -3.025722 -2.961917
3140.0 -1.127755 -3.089073 -2.540519
3150.0 -1.208241 -3.132548 1.086894
3160.0 -1.017749 -1.832115 2.982295
3170.0 -1.056054 -2.677926 -3.055849
3180.0 -1.259688 -2.770033 -3.116862
3190.0 -1.486422 -2.965399 3.101022
3200.0 -1.531576 -2.810546 3.138335
3210.0 -1.420105 -2.840393 -2.779813
3220.0 -1.415987 2.878471 1.294417
3230.0 -1.143932 -2.979482 -2.944405
3240.0 -1.069027 -3.083597 -3.136166
3250.0 -1.212253 3.097063 3.072857
3260.0 -1.304012 -3.068354 -2.887556
3270.0 -1.440746 -3.007257 -3.017247
3280.0 -1.33657 3.060886 -2.932316
3290.0 -1.441162 -3.093937 -2.944921
3300.0 -1.18281 2.883863 -2.909343
3310.0 -1.198808 3.00499 -3.01878
3320.0 -0.965458 2.852021 -2.960716
3330.0 -1.376781 2.995092 3.015559
3340.0 -0.928272 -3.139377 3.005306
3350.0 -1.036339 -2.792653 3.092378
3360.0 -0.943438 -2.918253 -3.106197
3370.0 -1.62605 3.085498 -2.771186
3380.0 -1.459969 2.929324 -3.07245
3390.0 -1.067532 3.017757 -3.047595
