time phi1_2 psi1_2 phi2_3 psi2_3
0.0 -0.952152 -2.076138 0.794086 -1.964672
10.0 -1.3394 -2.463493 1.049455 -1.918793
20.0 -1.010141 -2.546584 0.792587 -2.021605
30.0 -1.30461 -2.359066 1.054991 -2.088482
40.0 -1.11839 -2.204685 1.216252 -2.122592
50.0 -1.152327 -2.240462 0.653041 -1.938892
60.0 -1.337896 -2.098973 0.92183 -2.183963
70.0 -1.057443 -2.343976 0.871741 -1.736844
80.0 -1.339407 -1.920784 1.089628 -2.243669
90.0 -1.19677 -2.315984 1.157295 -2.395427
100.0 -1.350363 -1.768964 0.532985 -2.864436
110.0 -1.463115 -2.290507 1.145025 -2.0287
120.0 -1.531398 -2.558945 1.081469 -2.278981
130.0 -1.296287 -2.20241 0.878764 -1.966202
140.0 -1.118048 -2.13369 0.909069 -1.956445
150.0 -1.210114 -2.59833 0.852891 -1.983457
160.0 -1.404536 -2.461165 0.618147 -2.369998
170.0 -1.117919 -2.425548 1.329352 -1.893243
180.0 -0.882472 -2.338265 0.667016 -1.832378
190.0 -1.020113 -2.367875 -0.328239 -2.55345
200.0 -1.087923 -2.250066 0.881261 -2.357528
210.0 -1.172798 -2.441861 0.880764 -1.944456
220.0 -1.281315 -2.401831 1.237213 -2.157686
230.0 -1.104848 -1.874171 0.655543 -1.919345
240.0 -1.540213 -2.356374 1.238196 -1.982427
250.0 -1.193556 -2.323569 0.833552 -1.881835
260.0 -0.785203 -2.416349 0.848683 -1.900947
270.0 -0.901851 -2.03866 0.848191 -1.91561
280.0 -1.242736 -1.939423 0.997203 -2.119551
290.0 -1.466246 -2.695733 0.745875 -2.265109
300.0 -1.39507 -2.317914 1.054658 -2.26953
310.0 -1.1678 -2.25413 1.099733 -1.963515
320.0 -1.17452 -2.105844 0.979805 -2.280534
330.0 -1.328171 -2.38661 1.055354 -1.993497
340.0 -1.292275 -2.66897 0.674302 -1.825819
350.0 -1.259971 3.079866 0.935707 -1.991789
360.0 -1.286754 -2.694731 0.936784 -2.121012
370.0 -1.441187 -2.72604 0.76136 -1.968503
