time phi1_2 psi1_2 phi2_3 psi2_3
0.0 -1.104533 -2.412341 -1.022174 -2.129175
10.0 -1.398121 3.059127 -1.311717 -2.261075
20.0 -1.45306 3.118034 -1.058317 -2.587326
30.0 -1.612468 -2.945755 -1.756037 -1.601128
40.0 -1.259837 -2.19468 -1.086135 -2.269683
50.0 -1.400321 -2.007646 -0.974544 -2.26896
60.0 -1.184243 -2.024007 -1.324246 -2.427615
70.0 -1.447671 -2.307028 -1.323899 -2.518047
80.0 -0.934446 -2.573203 -1.154656 -1.704126
90.0 -1.244549 -2.272132 -1.433202 -1.87714
100.0 -1.350145 -2.264705 -1.50173 -2.066154
110.0 -1.102011 -1.967351 -1.120571 -2.223828
120.0 -1.154559 -2.029118 -1.523574 -2.893654
130.0 -1.675938 3.120195 -1.434386 -1.862191
140.0 -0.810958 -1.898151 -1.634604 -2.589229
150.0 -1.415108 -2.728796 -1.303924 -1.88687
160.0 -1.441125 -2.464364 -1.395809 -2.378195
170.0 -1.242309 -2.295423 -1.361932 -2.455112
180.0 -1.062703 -2.43461 -0.821743 -2.567554
190.0 -0.831069 -2.309534 -1.238064 -1.787819
200.0 -1.208944 -2.525251 -1.48021 -3.013554
210.0 -1.52381 3.125654 -1.66726 -1.581441
220.0 -0.972602 -2.221816 -1.320633 -1.692881
230.0 -1.43734 -3.135116 -1.550358 -2.733831
240.0 -1.001302 -1.974594 -1.335237 -1.727188
250.0 -1.535298 -3.103347 -1.379664 -2.867459
260.0 -1.263128 -1.893349 -1.500262 -3.012128
270.0 -1.539341 -2.133273 -1.463628 -2.358277
280.0 -1.17787 -2.402514 -1.407999 -3.085009
290.0 -1.229116 -2.665121 -1.655042 -2.894714
300.0 -1.122521 -2.296748 -1.610684 3.023707
310.0 -1.381082 -2.294801 -0.854312 -1.516807
320.0 -1.018269 -2.474305 -1.45142 -2.553885
330.0 -1.1062 -1.863669 -1.717664 -1.730612
340.0 -1.546062 -2.99277 -0.934472 -2.634711
350.0 -1.457707 3.012073 -1.822313 -2.763364
360.0 -0.87365 -2.116712 -1.894723 -2.49105
370.0 -1.573901 -2.797894 -1.047023 -1.992624
380.0 -1.248627 -2.158543 -1.509203 3.120185
390.0 -1.311214 -2.181009 -1.508035 -2.829878
400.0 -1.106042 -2.021951 -0.955069 -2.393793
410.0 -1.652135 -2.707467 -0.967411 -2.283181
420.0 -1.28717 -2.500378 -1.523272 -2.18198
430.0 -1.311285 -2.599024 -1.702285 -2.00093
440.0 -1.363913 -2.648947 -1.030569 -1.881955
450.0 -1.473064 -1.906654 -1.255648 -2.675457
460.0 -0.906333 -2.379818 -1.177944 -2.391585
470.0 -1.006592 -2.046575 -1.552969 -2.815649
480.0 -1.041706 -2.629426 -1.304732 -2.341792
490.0 -1.509683 -2.581446 -1.390017 -2.747197
500.0 -1.293836 -2.240522 -1.009582 -1.959487
510.0 -0.839318 -2.182787 -1.646203 -2.008745
520.0 -1.485643 -2.892009 -1.338299 -2.204671
530.0 -1.18406 -2.132726 -1.716589 -2.542635
540.0 -1.310081 -2.471204 -1.287917 -2.520668
550.0 -1.058488 -2.131143 -1.562938 -1.77112
560.0 -1.151911 -2.16535 -1.485509 -2.828284
570.0 -1.461338 -2.436067 -1.239622 -2.750518
580.0 -1.436804 -2.356788 -1.744331 -2.485894
590.0 -1.108518 -2.481155 -1.5241 -1.843889
600.0 -1.46766 -2.635764 -1.312169 -1.841437
610.0 -1.540325 -1.925062 -1.322315 -2.561282
620.0 -1.443693 -1.928366 -1.178698 -1.691506
630.0 -1.431844 -2.550498 -0.983844 -2.151444
640.0 -1.323848 -2.142228 -1.331488 -2.445424
650.0 -1.291582 -2.394574 -1.596418 -1.710393
660.0 -1.400369 -2.537745 -1.576598 -1.816184
670.0 -1.188001 -1.975676 -1.485292 -2.520009
680.0 -1.201816 -2.492255 -0.97387 -1.952925
690.0 -1.281209 -2.773448 -1.113227 -1.740711
700.0 -1.231013 -1.978309 -1.034619 -1.663903
710.0 -1.315802 -2.304359 -1.449439 -2.756822
720.0 -1.167005 -2.481318 -1.127651 -2.851862
730.0 -1.210269 -2.576661 -1.566131 -2.638687
740.0 -1.197707 -2.243641 -1.292927 -2.667832
750.0 -1.38844 -2.163104 -1.085741 -2.29132
760.0 -1.228916 -2.570011 -1.652326 -2.428749
770.0 -1.32888 -2.191081 -1.530406 -2.543443
780.0 -1.06769 -2.893966 -1.610019 -2.645963
790.0 -1.129417 -2.179407 -1.175216 -2.431881
800.0 -1.280494 -2.823671 -1.721781 -1.933512
810.0 -1.232847 -2.738032 -1.259931 -2.317085
820.0 -1.168823 -2.213305 -1.18221 -2.411064
830.0 -1.088962 -2.129 -1.643055 -1.917586
840.0 -1.394643 -2.799518 -1.681779 -2.416236
850.0 -1.337103 -2.315078 -1.174467 -3.074613
860.0 -1.598743 -2.383256 -1.409757 -2.8015
870.0 -1.332451 -2.504782 -0.903313 -2.295903
880.0 -1.072073 -2.414114 -1.135943 -2.861439
890.0 -1.163415 -2.468385 -1.43087 -2.694271
900.0 -0.976797 -2.547899 -1.277117 -1.72438
910.0 -1.123885 -2.166556 -1.347818 -2.143519
920.0 -1.285322 -2.21928 -1.952476 -1.807448
930.0 -1.456221 -2.411288 -1.306824 -2.576013
940.0 -1.433977 -2.289512 -1.060652 -2.318043
950.0 -1.454013 -3.002974 -0.781304 -1.866661
960.0 -1.346368 -2.651094 -1.398351 -2.650392
970.0 -1.439777 -1.953614 -1.182665 -1.968522
980.0 -1.401769 -2.601969 -1.495473 3.036362
990.0 -1.395858 -2.549524 -0.90127 -2.264907
1000.0 -1.011658 -2.33828 -1.339936 -2.554048
1010.0 -1.15348 -2.236644 -0.926838 -2.278856
1020.0 -0.958144 -2.066334 -1.425542 -2.915166
1030.0 -1.670843 2.993001 -1.468501 -2.36399
1040.0 -1.516686 -2.577922 -1.351231 -2.712642
1050.0 -1.299997 -2.477887 -1.178046 -2.689197
1060.0 -0.717654 -2.129777 -1.174548 -2.707438
1070.0 -1.24183 -2.569339 -0.961223 -2.409454
1080.0 -0.913953 -1.581439 -1.437071 -2.679266
1090.0 -0.696172 -2.0219 -1.365636 -3.053581
1100.0 -1.142217 -2.645145 -1.28721 -2.131749
1110.0 -1.588763 -2.84449 -1.427064 -2.163609
1120.0 -1.018255 -2.610868 -1.507815 -1.808682
1130.0 -1.10088 -2.271743 -1.200607 -1.908716
1140.0 -1.386636 -2.724742 -1.427449 -2.967536
1150.0 -1.410897 -2.35034 -1.544834 -2.726292
1160.0 -1.286656 -2.675609 -1.952062 -2.431003
1170.0 -1.692223 -2.632335 -1.580852 3.081983
1180.0 -1.437864 -2.651636 -1.170243 -2.752275
