time phi1_2 psi1_2 omega1_2
0.0 1.215714 -2.978455 -2.949452
10.0 1.31514 2.931566 -2.92223
20.0 1.155883 -2.923966 -2.98313
30.0 1.530844 3.102909 3.047046
40.0 1.007021 2.770814 -2.871092
50.0 1.183465 3.055655 -2.898898
60.0 1.103338 3.017713 -2.946698
70.0 1.091097 3.021539 -2.754431
80.0 1.063119 3.001201 -2.981634
90.0 1.128293 3.031617 3.024882
100.0 1.256721 3.099592 3.055727
110.0 1.219884 -3.09049 -2.873502
120.0 1.073918 3.116779 -2.846583
130.0 0.838931 -3.040469 -2.932974
140.0 1.187772 -3.141412 -3.035156
150.0 1.103424 2.92359 -2.856943
160.0 1.360057 -2.94221 3.03549
170.0 1.283718 -3.10096 3.044084
180.0 1.195255 3.052957 3.052023
190.0 1.147874 -2.995576 -2.919728
200.0 1.069027 3.051898 -2.821001
210.0 0.982888 -2.761061 -2.918049
220.0 1.318253 3.130993 -2.951455
230.0 0.993825 2.973839 3.105526
240.0 1.056782 -3.126401 -3.13801
250.0 1.305412 3.007341 3.114072
260.0 1.0582 2.871096 -2.966691
270.0 1.092962 -2.996897 3.059734
280.0 1.104512 2.773297 -2.837798
290.0 1.160493 3.067865 3.112316
300.0 1.280017 -3.086947 -3.002019
310.0 1.32109 2.853143 -3.103199
320.0 0.773653 -3.109695 -2.859095
330.0 1.277165 3.131534 -2.802084
340.0 1.190393 3.034597 -2.926254
350.0 1.152567 -3.082567 3.050556
360.0 1.329777 -3.089113 -2.972271
370.0 1.810151 3.106484 3.133096
380.0 0.931307 3.012472 1.229844
390.0 1.201195 -2.997404 -2.976961
400.0 1.276197 -2.841124 -3.060803
410.0 1.511832 -2.991867 -2.987956
420.0 1.00369 2.853852 -3.058028
430.0 1.110956 1.27471 2.822496
440.0 1.307698 3.007141 -3.098498
450.0 1.264816 -3.00105 -2.970768
460.0 1.211887 3.010974 -2.952085
470.0 1.386086 -3.096034 -3.109459
480.0 1.147521 3.075268 1.028436
490.0 0.960688 3.140085 -2.988568
500.0 0.997812 -3.033839 -2.891392
510.0 1.361114 3.116744 1.36862
520.0 1.307163 2.941085 3.019403
530.0 1.100354 2.912308 3.011147
540.0 1.039527 1.219868 -3.064996
550.0 1.381717 -2.977337 -3.139425
560.0 1.059712 1.123071 3.114629
570.0 1.112829 1.353672 3.034694
580.0 1.181317 2.899002 -0.930955
590.0 1.379687 1.687845 1.193909
600.0 1.166152 1.116022 -3.055857
610.0 1.10483 1.16316 3.04263
620.0 1.395272 2.99118 0.846838
630.0 1.135593 2.797896 0.89135
640.0 1.329607 -2.874259 -0.926243
650.0 1.584369 1.753828 0.866733
660.0 1.069376 1.103741 2.889893
670.0 1.027238 2.922127 -1.11168
680.0 1.298548 -3.136399 -1.336869
690.0 1.111978 -3.101 -1.141476
700.0 1.193082 -3.008392 -3.02719
710.0 1.339908 2.991449 -3.044439
720.0 1.281179 1.16081 3.052135
730.0 0.987563 1.258144 -3.065013
740.0 1.18469 -3.003366 -1.066827
750.0 1.285451 3.064137 -0.983234
760.0 1.038433 1.10281 -3.129334
770.0 1.207073 -3.081334 -0.884828
780.0 1.013468 -2.998276 3.139588
790.0 1.735923 1.599257 1.086764
800.0 0.96271 1.216505 -2.836121
810.0 1.070417 1.126355 3.038065
820.0 1.264119 1.52206 1.117332
830.0 0.676582 1.386123 2.967918
840.0 1.54891 -2.992356 -2.999694
850.0 1.283322 -3.107783 -2.909447
860.0 1.069327 3.116152 -3.090063
870.0 1.541645 1.540583 1.237352
880.0 1.282821 -2.959524 -2.898599
890.0 1.164309 3.109344 -2.981881
900.0 1.343748 2.852737 -0.758137
910.0 1.451426 1.579077 1.091555
920.0 1.165326 -2.979953 2.995621
930.0 1.527264 2.543306 -0.847454
940.0 1.114443 -2.933537 -2.994415
950.0 1.419794 2.768247 -0.628146
960.0 0.99443 1.445635 -3.008388
970.0 1.273771 2.937412 -1.228103
980.0 1.326192 -2.774337 -2.83435
990.0 1.167824 1.637995 2.729621
1000.0 1.301863 -3.011015 -2.851136
1010.0 1.301418 -2.841162 -2.97451
1020.0 1.130382 -2.984858 1.044055
1030.0 0.960176 1.731133 2.983143
1040.0 1.262965 2.69285 -3.085813
1050.0 1.151063 1.350463 3.076901
1060.0 0.862597 2.999724 3.132827
1070.0 0.927668 -2.848517 -3.034626
1080.0 0.954418 1.36113 -2.999985
1090.0 1.293226 2.086067 -2.983327
1100.0 1.249777 1.389602 -3.047984
1110.0 1.175459 -3.060195 -2.948204
1120.0 1.263264 1.04472 -3.119505
1130.0 1.057211 3.094104 -3.119
1140.0 1.230586 1.274175 3.028996
1150.0 1.340724 -3.015314 3.028572
1160.0 0.902978 2.754579 -2.731569
1170.0 1.20746 -2.958435 3.050492
1180.0 1.094821 2.984337 -3.043019
1190.0 1.162372 -2.944943 -2.977577
1200.0 1.782021 -1.403075 -1.162455
1210.0 1.144559 -2.908537 -2.831177
1220.0 1.170086 -2.834578 2.999989
1230.0 0.912345 -2.761046 -2.95203
1240.0 1.176847 -3.005181 -3.105999
1250.0 0.944857 -3.071976 -2.736658
1260.0 1.395824 3.020445 -2.986654
