 Conformer Count_block Probability Count_total
0 " G₋ A₊ G₊ A₊6── G₊ G₊ gt6── G₋ T  gg G₋ A₊ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋3── G₊ A₋4── G₋ A₊ G₋ A₊ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋f── G₋ A₋ gg" 49.0 0.000392 49
1 " G₋ A₊ G₊ A₊6── G₊ G₊ gt6── G₋ T  gg G₋ A₊ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋3── G₊ A₋4── G₋ A₊ G₋ A₊ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋f── G₋ T  gg" 35.0 0.00028 35
2 " G₋ A₊ G₊ A₊6── G₊ G₊ gt6── G₋ T  gg G₋ A₊ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋3── G₊ A₋4── G₋ A₊ G₋ A₊ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋f── G₋ T  gt" 4.0 3.2e-05 4
3 " G₋ A₊ G₊ A₊6── G₊ G₊ gt6── G₋ T  gg G₋ G₋ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋3── G₊ A₋4── G₋ A₊ G₋ A₊ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋f── G₋ A₋ gt" 7.0 5.6e-05 7
4 " G₋ A₊ G₊ A₊6── G₊ G₊ gt6── G₋ T  gg G₋ G₋ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋3── G₊ A₋4── G₋ A₊ G₋ A₊ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋f── G₋ G₊ gt" 40.0 0.00032 40
5 " G₋ A₊ G₊ A₊6── G₊ G₊ gt6── G₋ T  gg G₋ G₋ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋3── G₊ A₋4── G₋ A₊ G₋ A₊ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋f── G₋ T  gt" 1.0 8e-06 1
6 " G₋ A₊ G₊ A₊6── G₊ G₊ gt6── G₋ T  gg G₋ G₋ G₊ A₋2── G₋ G₋ G₋ G₋ G₊ A₋3── G₊ A₋4── G₋ A₊ G₋ A₊ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋f── G₋ A₋ gt" 4.0 3.2e-05 4
7 " G₋ A₊ G₊ A₊6── G₊ G₊ gt6── G₋ T  gg G₋ G₋ G₊ A₋2── G₋ G₋ G₋ G₋ G₊ A₋3── G₊ A₋4── G₋ A₊ G₋ G₋ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋f── G₋ A₋ gt" 16.0 0.000128 16
8 " G₋ A₊ G₊ A₊6── G₊ G₊ gt6── G₋ T  gg G₋ G₋ G₊ A₋2── G₋ G₋ G₋ G₋ G₊ A₋3── G₊ A₋4── G₋ A₊ G₋ G₋ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋f── G₋ G₊ gt" 3.0 2.4e-05 3
9 " G₋ A₊ G₊ A₊6── G₊ G₊ gt6── G₋ T  gg G₋ G₋ G₊ A₋2── G₋ G₋ G₋ G₋ G₊ A₋3── G₊ A₋4── G₋ A₊ G₋ G₋ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋f── G₋ T  gt" 5.0 4e-05 5
10 " G₋ A₊ G₊ A₊6── G₊ G₊ gt6── G₋ T  gt G₋ A₊ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋3── G₊ A₋4── G₋ A₊ G₋ A₊ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋f── G₋ T  gg" 0.0 0.0 4
11 " G₋ A₊ G₊ A₊6── G₊ T  gg6── G₋ T  gg G₋ A₊ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋3── G₊ A₋4── G₋ A₊ G₋ A₊ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋f── G₋ A₋ gg" 0.0 0.0 91
12 " G₋ A₊ G₊ A₊6── G₊ T  gg6── G₋ T  gg G₋ A₊ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋3── G₊ A₋4── G₋ A₊ G₋ A₊ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋f── G₋ A₋ gt" 0.0 0.0 39
13 " G₋ A₊ G₊ A₊6── G₊ T  gg6── G₋ T  gg G₋ A₊ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋3── G₊ A₋4── G₋ A₊ G₋ A₊ G₊ A₋2── G₋ G₋ G₋ A₊ G₊ A₋f── G₋ G₊ gg" 0.0 0.0 36
